sym_id,symptom,disease,diagnosis,treatment
11,Heart palpitations,Adrenal Gland Tumor,"Biopsy,MRI scan,CT scan,pet-ct scan,Adrenal vein sampling,blood and urine tests,migb scan.","Surgery,Hormone therapy,Chemotherapy,Radiation therapy"
12,Nervousness,Adrenal Gland Tumor,"Biopsy,MRI scan,CT scan,pet-ct scan,Adrenal vein sampling,blood and urine tests,migb scan.","Surgery,Hormone therapy,Chemotherapy,Radiation therapy"
13,Feelings of anxiety or panic attacks,Adrenal Gland Tumor,"Biopsy,MRI scan,CT scan,pet-ct scan,Adrenal vein sampling,blood and urine tests,migb scan.","Surgery,Hormone therapy,Chemotherapy,Radiation therapy"
14,Headache,Adrenal Gland Tumor,"Biopsy,MRI scan,CT scan,pet-ct scan,Adrenal vein sampling,blood and urine tests,migb scan.","Surgery,Hormone therapy,Chemotherapy,Radiation therapy"
15,Heavy sweating/perspiration,Adrenal Gland Tumor,"Biopsy,MRI scan,CT scan,pet-ct scan,Adrenal vein sampling,blood and urine tests,migb scan.","Surgery,Hormone therapy,Chemotherapy,Radiation therapy"
16,Diabetes,Adrenal Gland Tumor,"Biopsy,MRI scan,CT scan,pet-ct scan,Adrenal vein sampling,blood and urine tests,migb scan.","Surgery,Hormone therapy,Chemotherapy,Radiation therapy"
17,Abdominal pain,Adrenal Gland Tumor,"Biopsy,MRI scan,CT scan,pet-ct scan,Adrenal vein sampling,blood and urine tests,migb scan.","Surgery,Hormone therapy,Chemotherapy,Radiation therapy"
18,Unexplained weight gain or weight loss,Adrenal Gland Tumor,"Biopsy,MRI scan,CT scan,pet-ct scan,Adrenal vein sampling,blood and urine tests,migb scan.","Surgery,Hormone therapy,Chemotherapy,Radiation therapy"
19,Weakness,Adrenal Gland Tumor,"Biopsy,MRI scan,CT scan,pet-ct scan,Adrenal vein sampling,blood and urine tests,migb scan.","Surgery,Hormone therapy,Chemotherapy,Radiation therapy"
20,Abdominal stretch marks,Adrenal Gland Tumor,"Biopsy,MRI scan,CT scan,pet-ct scan,Adrenal vein sampling,blood and urine tests,migb scan.","Surgery,Hormone therapy,Chemotherapy,Radiation therapy"
21,Excessive hair growth,Adrenal Gland Tumor,"Biopsy,MRI scan,CT scan,pet-ct scan,Adrenal vein sampling,blood and urine tests,migb scan.","Surgery,Hormone therapy,Chemotherapy,Radiation therapy"
22,Changes in the genitals,Adrenal Gland Tumor,"Biopsy,MRI scan,CT scan,pet-ct scan,Adrenal vein sampling,blood and urine tests,migb scan.","Surgery,Hormone therapy,Chemotherapy,Radiation therapy"
23,Unusual acne,Adrenal Gland Tumor,"Biopsy,MRI scan,CT scan,pet-ct scan,Adrenal vein sampling,blood and urine tests,migb scan.","Surgery,Hormone therapy,Chemotherapy,Radiation therapy"
24,Bleeding from the anal area,Anal Cancer,"Digital rectal examination (DRE),anoscopy,biopsy,ultrasound,x-ray,MRI,CT,PET-CT scans.","Surgery,Chemotherapy,Radiation therapy"
25,Pain or pressure in the anal area,Anal Cancer,"Digital rectal examination (DRE),anoscopy,biopsy,ultrasound,x-ray,MRI,CT,PET-CT scans.","Surgery,Chemotherapy,Radiation therapy"
26,Itching or discharge from the anus,Anal Cancer,"Digital rectal examination (DRE),anoscopy,biopsy,ultrasound,x-ray,MRI,CT,PET-CT scans.","Surgery,Chemotherapy,Radiation therapy"
27,A lump or swelling near the anus,Anal Cancer,"Digital rectal examination (DRE),anoscopy,biopsy,ultrasound,x-ray,MRI,CT,PET-CT scans.","Surgery,Chemotherapy,Radiation therapy"
28,A change in bowel habits or change in the diameter of the stool,Anal Cancer,"Digital rectal examination (DRE),anoscopy,biopsy,ultrasound,x-ray,MRI,CT,PET-CT scans.","Surgery,Chemotherapy,Radiation therapy"
29,"Appendicitis, which is inflammation of the appendix",Appendix Cancer,"Radionuclide scanning,biopsy,CT,MRI scan,Biomarker testing of the tumor,ultrasound.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
30,"Ascites, which is fluid in the abdomen",Appendix Cancer,"Radionuclide scanning,biopsy,CT,MRI scan,Biomarker testing of the tumor,ultrasound.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
31,Bloating,Appendix Cancer,"Radionuclide scanning,biopsy,CT,MRI scan,Biomarker testing of the tumor,ultrasound.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
32,Pain in the abdomen or pelvis area,Appendix Cancer,"Radionuclide scanning,biopsy,CT,MRI scan,Biomarker testing of the tumor,ultrasound.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
33,"Increased girth (size of the waistline), with or without a protrusion of the navel (bellybutton)",Appendix Cancer,"Radionuclide scanning,biopsy,CT,MRI scan,Biomarker testing of the tumor,ultrasound.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
34,Changes in bowel function,Appendix Cancer,"Radionuclide scanning,biopsy,CT,MRI scan,Biomarker testing of the tumor,ultrasound.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
35,"Infertility, which is the medical inability to have a child",Appendix Cancer,"Radionuclide scanning,biopsy,CT,MRI scan,Biomarker testing of the tumor,ultrasound.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
36,Headaches,Astrocytoma,"Biopsy,MRI,CT scan,Biomarker testing of the tumor.","Chemotherapy,Targeted therapy,Immunotherapy,surgery,Radiation therapy."
37,Feeling tired and listless,Astrocytoma,"Biopsy,MRI,CT scan,Biomarker testing of the tumor.","Chemotherapy,Targeted therapy,Immunotherapy,surgery,Radiation therapy."
38,Seizures not related to a high fever,Astrocytoma,"Biopsy,MRI,CT scan,Biomarker testing of the tumor.","Chemotherapy,Targeted therapy,Immunotherapy,surgery,Radiation therapy."
39,"Eyesight problems, such as double vision",Astrocytoma,"Biopsy,MRI,CT scan,Biomarker testing of the tumor.","Chemotherapy,Targeted therapy,Immunotherapy,surgery,Radiation therapy."
40,Changed growth or development,Astrocytoma,"Biopsy,MRI,CT scan,Biomarker testing of the tumor.","Chemotherapy,Targeted therapy,Immunotherapy,surgery,Radiation therapy."
41,"Itching, caused by a buildup of bile salts and bilirubin in the body that collects in the skin",Bile Duct Cancer,"Blood chemistry tests,Tumor marker tests,MRI scan,ultrasound,biopsy.","Surgical removal of the bile duct,Partial hepatectomy,Radiation Therapy,Liver transplantation,Whipple procedure."
42,Unexplained weight loss,Bile Duct Cancer,"Blood chemistry tests,Tumor marker tests,MRI scan,ultrasound,biopsy.","Surgical removal of the bile duct,Partial hepatectomy,Radiation Therapy,Liver transplantation,Whipple procedure."
43,Loss of appetite,Bile Duct Cancer,"Blood chemistry tests,Tumor marker tests,MRI scan,ultrasound,biopsy.","Surgical removal of the bile duct,Partial hepatectomy,Radiation Therapy,Liver transplantation,Whipple procedure."
44,Fever,Bile Duct Cancer,"Blood chemistry tests,Tumor marker tests,MRI scan,ultrasound,biopsy.","Surgical removal of the bile duct,Partial hepatectomy,Radiation Therapy,Liver transplantation,Whipple procedure."
45,Abdominal pain,Bile Duct Cancer,"Blood chemistry tests,Tumor marker tests,MRI scan,ultrasound,biopsy.","Surgical removal of the bile duct,Partial hepatectomy,Radiation Therapy,Liver transplantation,Whipple procedure."
46,Jaundice,Bile Duct Cancer,"Blood chemistry tests,Tumor marker tests,MRI scan,ultrasound,biopsy.","Surgical removal of the bile duct,Partial hepatectomy,Radiation Therapy,Liver transplantation,Whipple procedure."
47,Blood or blood clots in the urine,Bladder Cancer,"Urine tests,Cystoscopy,Biopsy/Transurethral resection of bladder tumor (TURBT),MRI,CT,PET-CT scan.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy."
48,Pain or burning sensation during urination,Bladder Cancer,"Urine tests,Cystoscopy,Biopsy/Transurethral resection of bladder tumor (TURBT),MRI,CT,PET-CT scan.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy."
49,Frequent urination,Bladder Cancer,"Urine tests,Cystoscopy,Biopsy/Transurethral resection of bladder tumor (TURBT),MRI,CT,PET-CT scan.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy."
50,Feeling the need to urinate many times throughout the night,Bladder Cancer,"Urine tests,Cystoscopy,Biopsy/Transurethral resection of bladder tumor (TURBT),MRI,CT,PET-CT scan.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy."
51,"Feeling the need to urinate, but not being able to pass urine",Bladder Cancer,"Urine tests,Cystoscopy,Biopsy/Transurethral resection of bladder tumor (TURBT),MRI,CT,PET-CT scan.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy."
52,Lower back pain on 1 side of the body,Bladder Cancer,"Urine tests,Cystoscopy,Biopsy/Transurethral resection of bladder tumor (TURBT),MRI,CT,PET-CT scan.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy."
53,Pain in the bone,Bone Cancer,"Blood tests,X-ray,Bone scan,CT,MRI,PET-CT scan,Biopsy.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy."
54,Joint swelling and stiffness,Bone Cancer,"Blood tests,X-ray,Bone scan,CT,MRI,PET-CT scan,Biopsy.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy."
55,Limping,Bone Cancer,"Blood tests,X-ray,Bone scan,CT,MRI,PET-CT scan,Biopsy.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy."
56,"fever,weight loss and anemia",Bone Cancer,"Blood tests,X-ray,Bone scan,CT,MRI,PET-CT scan,Biopsy.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy."
57,Double vision or not being able to close the eyelids,Brain Stem Glioma,"Biopsy,MRI scan,CT scan.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
58,Drooping of the face,Brain Stem Glioma,"Biopsy,MRI scan,CT scan.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
59,Difficulty chewing and swallowing food,Brain Stem Glioma,"Biopsy,MRI scan,CT scan.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
60,"Weakness in the arms and legs, clumsiness or wobbliness, and difficulty walking",Brain Stem Glioma,"Biopsy,MRI scan,CT scan.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
61,Difficulty talking,Brain Stem Glioma,"Biopsy,MRI scan,CT scan.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
62,Headache,Brain Stem Glioma,"Biopsy,MRI scan,CT scan.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
63,Vomiting,Brain Stem Glioma,"Biopsy,MRI scan,CT scan.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
64,"Headaches, which may be severe and worsen with activity or in the early morning",Brain Tumor,"MRI,CT,PET-CT scan,Tissue sampling/biopsy/surgical removal of a tumor,Biomarker testing of the tumor,Myelogram,Neurological, vision, and hearing tests.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
65,Myoclonic,Brain Tumor,"MRI,CT,PET-CT scan,Tissue sampling/biopsy/surgical removal of a tumor,Biomarker testing of the tumor,Myelogram,Neurological, vision, and hearing tests.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
66,Tonic-Clonic,Brain Tumor,"MRI,CT,PET-CT scan,Tissue sampling/biopsy/surgical removal of a tumor,Biomarker testing of the tumor,Myelogram,Neurological, vision, and hearing tests.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
67,Sensory,Brain Tumor,"MRI,CT,PET-CT scan,Tissue sampling/biopsy/surgical removal of a tumor,Biomarker testing of the tumor,Myelogram,Neurological, vision, and hearing tests.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
68,Personality or memory changes,Brain Tumor,"MRI,CT,PET-CT scan,Tissue sampling/biopsy/surgical removal of a tumor,Biomarker testing of the tumor,Myelogram,Neurological, vision, and hearing tests.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
69,Nausea or vomiting,Brain Tumor,"MRI,CT,PET-CT scan,Tissue sampling/biopsy/surgical removal of a tumor,Biomarker testing of the tumor,Myelogram,Neurological, vision, and hearing tests.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
70,Fatigue,Brain Tumor,"MRI,CT,PET-CT scan,Tissue sampling/biopsy/surgical removal of a tumor,Biomarker testing of the tumor,Myelogram,Neurological, vision, and hearing tests.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
71,Drowsiness,Brain Tumor,"MRI,CT,PET-CT scan,Tissue sampling/biopsy/surgical removal of a tumor,Biomarker testing of the tumor,Myelogram,Neurological, vision, and hearing tests.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
72,Sleep problems,Brain Tumor,"MRI,CT,PET-CT scan,Tissue sampling/biopsy/surgical removal of a tumor,Biomarker testing of the tumor,Myelogram,Neurological, vision, and hearing tests.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
73,Memory problems,Brain Tumor,"MRI,CT,PET-CT scan,Tissue sampling/biopsy/surgical removal of a tumor,Biomarker testing of the tumor,Myelogram,Neurological, vision, and hearing tests.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
74,Changes in ability to walk or perform daily activities,Brain Tumor,"MRI,CT,PET-CT scan,Tissue sampling/biopsy/surgical removal of a tumor,Biomarker testing of the tumor,Myelogram,Neurological, vision, and hearing tests.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy."
75,A lump that feels like a hard knot or a thickening in the breast or under the arm. It is important to feel the same area in the other breast to make sure the change is not a part of healthy breast tissue in that area.,Breast Cancer,"Imaging tests,Diagnostic mammography,ultrasound,MRI scan,Biopsy.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy,hormonal therapy."
76,Change in the size or shape of the breast,Breast Cancer,"Imaging tests,Diagnostic mammography,ultrasound,MRI scan,Biopsy.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy,hormonal therapy."
77,"Nipple discharge that occurs suddenly, is bloody, or occurs in only 1 breast",Breast Cancer,"Imaging tests,Diagnostic mammography,ultrasound,MRI scan,Biopsy.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy,hormonal therapy."
78,"Physical changes, such as a nipple turned inward or a sore located in the nipple area",Breast Cancer,"Imaging tests,Diagnostic mammography,ultrasound,MRI scan,Biopsy.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy,hormonal therapy."
79,"Skin irritation or changes, such as puckering, dimpling, scaliness, or new creases",Breast Cancer,"Imaging tests,Diagnostic mammography,ultrasound,MRI scan,Biopsy.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy,hormonal therapy."
80,"A warm, red, swollen breast with or without a rash with dimpling resembling the skin of an orange, called ?peau d'orange?",Breast Cancer,"Imaging tests,Diagnostic mammography,ultrasound,MRI scan,Biopsy.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy,hormonal therapy."
81,"Pain in the breast, particularly breast pain that does not go away. Pain is not usually a symptom of breast cancer, but it should be reported to a doctor.",Breast Cancer,"Imaging tests,Diagnostic mammography,ultrasound,MRI scan,Biopsy.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy,hormonal therapy."
82,Pain in the breast or nipple,Breast Cancer - Inflammatory,"Breast imaging tests,Diagnostic mammography,Ultrasound,Biopsy,MRI scan.","Chemotherapy,Targeted therapy,Immunotherapy,hormonal therapy."
83,Nipple discharge,Breast Cancer - Inflammatory,"Breast imaging tests,Diagnostic mammography,Ultrasound,Biopsy,MRI scan.","Chemotherapy,Targeted therapy,Immunotherapy,hormonal therapy."
84,"A lump in the breast, although often there is not a distinct lump.",Breast Cancer - Inflammatory,"Breast imaging tests,Diagnostic mammography,Ultrasound,Biopsy,MRI scan.","Chemotherapy,Targeted therapy,Immunotherapy,hormonal therapy."
85,"Skin or nipple changes, including ridges, puckering, or roughness on the skin",Breast Cancer - Inflammatory,"Breast imaging tests,Diagnostic mammography,Ultrasound,Biopsy,MRI scan.","Chemotherapy,Targeted therapy,Immunotherapy,hormonal therapy."
86,"A red, swollen, or warm breast.",Breast Cancer - Inflammatory,"Breast imaging tests,Diagnostic mammography,Ultrasound,Biopsy,MRI scan.","Chemotherapy,Targeted therapy,Immunotherapy,hormonal therapy."
87,"Headache, which may wake a child up at night or develop early in the morning",Central Nervous System Tumors (Brain and Spinal Cord),"Biopsy,MRI,CT scan,Biomarker testing of the tumor.","Neurosurgeon,Pediatric oncologist,Radiation oncologist,Neurologist,Neuro-radiologist,Neuro-pathologist."
88,"Unexplained, persistent nausea and projectile vomiting",Central Nervous System Tumors (Brain and Spinal Cord),"Biopsy,MRI,CT scan,Biomarker testing of the tumor.","Neurosurgeon,Pediatric oncologist,Radiation oncologist,Neurologist,Neuro-radiologist,Neuro-pathologist."
89,"Weakness or clumsiness that is new, such as sudden difficulty walking and balancing, that seems to get worse",Central Nervous System Tumors (Brain and Spinal Cord),"Biopsy,MRI,CT scan,Biomarker testing of the tumor.","Neurosurgeon,Pediatric oncologist,Radiation oncologist,Neurologist,Neuro-radiologist,Neuro-pathologist."
90,New vision problems,Central Nervous System Tumors (Brain and Spinal Cord),"Biopsy,MRI,CT scan,Biomarker testing of the tumor.","Neurosurgeon,Pediatric oncologist,Radiation oncologist,Neurologist,Neuro-radiologist,Neuro-pathologist."
91,"Developmental delay, loss of a development milestone, or a decline in usual academic learning level at school",Central Nervous System Tumors (Brain and Spinal Cord),"Biopsy,MRI,CT scan,Biomarker testing of the tumor.","Neurosurgeon,Pediatric oncologist,Radiation oncologist,Neurologist,Neuro-radiologist,Neuro-pathologist."
92,Early or delayed onset of puberty,Central Nervous System Tumors (Brain and Spinal Cord),"Biopsy,MRI,CT scan,Biomarker testing of the tumor.","Neurosurgeon,Pediatric oncologist,Radiation oncologist,Neurologist,Neuro-radiologist,Neuro-pathologist."
93,Delayed or abnormal growth,Central Nervous System Tumors (Brain and Spinal Cord),"Biopsy,MRI,CT scan,Biomarker testing of the tumor.","Neurosurgeon,Pediatric oncologist,Radiation oncologist,Neurologist,Neuro-radiologist,Neuro-pathologist."
94,"Pain, especially back pain",Central Nervous System Tumors (Brain and Spinal Cord),"Biopsy,MRI,CT scan,Biomarker testing of the tumor.","Neurosurgeon,Pediatric oncologist,Radiation oncologist,Neurologist,Neuro-radiologist,Neuro-pathologist."
95,"Irritability, listlessness, or changes in personality",Central Nervous System Tumors (Brain and Spinal Cord),"Biopsy,MRI,CT scan,Biomarker testing of the tumor.","Neurosurgeon,Pediatric oncologist,Radiation oncologist,Neurologist,Neuro-radiologist,Neuro-pathologist."
96,"A seizure or convulsion, which are sudden involuntary movements of a person?s muscles",Central Nervous System Tumors (Brain and Spinal Cord),"Biopsy,MRI,CT scan,Biomarker testing of the tumor.","Neurosurgeon,Pediatric oncologist,Radiation oncologist,Neurologist,Neuro-radiologist,Neuro-pathologist."
97,"Staring or repetitive automatic movements, such as a neck tilt or a squint",Central Nervous System Tumors (Brain and Spinal Cord),"Biopsy,MRI,CT scan,Biomarker testing of the tumor.","Neurosurgeon,Pediatric oncologist,Radiation oncologist,Neurologist,Neuro-radiologist,Neuro-pathologist."
98,"Continued, unexplained weight loss",Childhood Cancer,"Blood tests,Biopsy,Lumbar puncture (spinal tap),ultra sound,MRI,CT,PET-CT scan.","Surgery,Chemotherapy,Radiation therapy,Immunotherapy,Bone marrow transplantation/stem cell transplantation."
99,"Headaches, often with early morning vomiting",Childhood Cancer,"Blood tests,Biopsy,Lumbar puncture (spinal tap),ultra sound,MRI,CT,PET-CT scan.","Surgery,Chemotherapy,Radiation therapy,Immunotherapy,Bone marrow transplantation/stem cell transplantation."
100,"Increased swelling or persistent pain in the bones, joints, back, or legs",Childhood Cancer,"Blood tests,Biopsy,Lumbar puncture (spinal tap),ultra sound,MRI,CT,PET-CT scan.","Surgery,Chemotherapy,Radiation therapy,Immunotherapy,Bone marrow transplantation/stem cell transplantation."
101,"Lump or mass, especially in the abdomen, neck, chest, pelvis, or armpits",Childhood Cancer,"Blood tests,Biopsy,Lumbar puncture (spinal tap),ultra sound,MRI,CT,PET-CT scan.","Surgery,Chemotherapy,Radiation therapy,Immunotherapy,Bone marrow transplantation/stem cell transplantation."
102,"Development of excessive bruising, bleeding, or rash",Childhood Cancer,"Blood tests,Biopsy,Lumbar puncture (spinal tap),ultra sound,MRI,CT,PET-CT scan.","Surgery,Chemotherapy,Radiation therapy,Immunotherapy,Bone marrow transplantation/stem cell transplantation."
103,"Constant, frequent, or persistent infections",Childhood Cancer,"Blood tests,Biopsy,Lumbar puncture (spinal tap),ultra sound,MRI,CT,PET-CT scan.","Surgery,Chemotherapy,Radiation therapy,Immunotherapy,Bone marrow transplantation/stem cell transplantation."
104,A whitish color behind the pupil,Childhood Cancer,"Blood tests,Biopsy,Lumbar puncture (spinal tap),ultra sound,MRI,CT,PET-CT scan.","Surgery,Chemotherapy,Radiation therapy,Immunotherapy,Bone marrow transplantation/stem cell transplantation."
105,Nausea that persists or vomiting without nausea,Childhood Cancer,"Blood tests,Biopsy,Lumbar puncture (spinal tap),ultra sound,MRI,CT,PET-CT scan.","Surgery,Chemotherapy,Radiation therapy,Immunotherapy,Bone marrow transplantation/stem cell transplantation."
106,Constant tiredness or noticeable paleness,Childhood Cancer,"Blood tests,Biopsy,Lumbar puncture (spinal tap),ultra sound,MRI,CT,PET-CT scan.","Surgery,Chemotherapy,Radiation therapy,Immunotherapy,Bone marrow transplantation/stem cell transplantation."
107,Eye or vision changes that occur suddenly and persist,Childhood Cancer,"Blood tests,Biopsy,Lumbar puncture (spinal tap),ultra sound,MRI,CT,PET-CT scan.","Surgery,Chemotherapy,Radiation therapy,Immunotherapy,Bone marrow transplantation/stem cell transplantation."
108,Recurring or persistent fevers of unknown origin,Childhood Cancer,"Blood tests,Biopsy,Lumbar puncture (spinal tap),ultra sound,MRI,CT,PET-CT scan.","Surgery,Chemotherapy,Radiation therapy,Immunotherapy,Bone marrow transplantation/stem cell transplantation."
109,A change in bowel habits,Colorectal Cancer,"Colonoscopy,Biopsy,MRI,CT,PET-CT scan,ultrasound,Chest x-ray.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy."
110,"Diarrhea, constipation, or feeling that the bowel does not empty completely",Colorectal Cancer,"Colonoscopy,Biopsy,MRI,CT,PET-CT scan,ultrasound,Chest x-ray.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy."
111,Bright red or very dark blood in the stool,Colorectal Cancer,"Colonoscopy,Biopsy,MRI,CT,PET-CT scan,ultrasound,Chest x-ray.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy."
112,Stools that look narrower or thinner than normal,Colorectal Cancer,"Colonoscopy,Biopsy,MRI,CT,PET-CT scan,ultrasound,Chest x-ray.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy."
113,"Discomfort in the abdomen, including frequent gas pains, bloating, fullness, and cramps",Colorectal Cancer,"Colonoscopy,Biopsy,MRI,CT,PET-CT scan,ultrasound,Chest x-ray.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy."
114,Weight loss with no known explanation,Colorectal Cancer,"Colonoscopy,Biopsy,MRI,CT,PET-CT scan,ultrasound,Chest x-ray.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy."
115,Constant tiredness or fatigue,Colorectal Cancer,"Colonoscopy,Biopsy,MRI,CT,PET-CT scan,ultrasound,Chest x-ray.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy."
116,"Unexplained iron-deficiency anemia, which is a low number of red blood cells",Colorectal Cancer,"Colonoscopy,Biopsy,MRI,CT,PET-CT scan,ultrasound,Chest x-ray.","Surgery,Chemotherapy,Radiation therapy,Targeted therapy,Immunotherapy."
117,"Headaches, which may be severe and worse in the early morning",Craniopharyngioma - Childhood,"Physical examination,Blood and/or urine tests,Biopsy,MRI and CT scan.","surgery,Radiation therapy."
118,Nausea and/or vomiting,Craniopharyngioma - Childhood,"Physical examination,Blood and/or urine tests,Biopsy,MRI and CT scan.","surgery,Radiation therapy."
119,Difficulty with balance,Craniopharyngioma - Childhood,"Physical examination,Blood and/or urine tests,Biopsy,MRI and CT scan.","surgery,Radiation therapy."
120,Increased sleepiness or fatigue,Craniopharyngioma - Childhood,"Physical examination,Blood and/or urine tests,Biopsy,MRI and CT scan.","surgery,Radiation therapy."
121,Mood or behavior changes,Craniopharyngioma - Childhood,"Physical examination,Blood and/or urine tests,Biopsy,MRI and CT scan.","surgery,Radiation therapy."
122,Slow or halted body growth,Craniopharyngioma - Childhood,"Physical examination,Blood and/or urine tests,Biopsy,MRI and CT scan.","surgery,Radiation therapy."
123,Obesity or excessive weight gain,Craniopharyngioma - Childhood,"Physical examination,Blood and/or urine tests,Biopsy,MRI and CT scan.","surgery,Radiation therapy."
124,Excessive thirst and increased urination,Craniopharyngioma - Childhood,"Physical examination,Blood and/or urine tests,Biopsy,MRI and CT scan.","surgery,Radiation therapy."
